"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","498","Create user","LMS service","Sat Mar 28 19:34:27 UTC 2026","passed","Sat Mar 28 19:34:27 UTC 2026","Create entity","Users","",""
"","25","Create file with empty directory","LMS service","Sat Mar 28 19:34:26 UTC 2026","passed","Sat Mar 28 19:34:26 UTC 2026","Validate entity","Files","",""
"","19","Create file with empty filename","LMS service","Sat Mar 28 19:34:25 UTC 2026","passed","Sat Mar 28 19:34:25 UTC 2026","Validate entity","Files","",""
"","512","Create user","LMS service","Sat Mar 28 19:34:26 UTC 2026","passed","Sat Mar 28 19:34:27 UTC 2026","Create entity","Users","",""
"","273","Get exercise","LMS service","Sat Mar 28 19:34:23 UTC 2026","passed","Sat Mar 28 19:34:23 UTC 2026","Get entity","Exercises","",""
"","26","Get courses","LMS service","Sat Mar 28 19:34:20 UTC 2026","passed","Sat Mar 28 19:34:20 UTC 2026","Get entities","Courses","",""
"","18","Create exercise","LMS service","Sat Mar 28 19:34:21 UTC 2026","passed","Sat Mar 28 19:34:21 UTC 2026","Create entity","Exercises","",""
"","272","Get exercises","LMS service","Sat Mar 28 19:34:24 UTC 2026","passed","Sat Mar 28 19:34:24 UTC 2026","Get entities","Exercises","",""
"","51","Get file","LMS service","Sat Mar 28 19:34:25 UTC 2026","passed","Sat Mar 28 19:34:25 UTC 2026","Get entity","Files","",""
"","290","Update course","LMS service","Sat Mar 28 19:34:19 UTC 2026","passed","Sat Mar 28 19:34:20 UTC 2026","Update entity","Courses","",""
"","524","Login with correct email and password","LMS service","Sat Mar 28 19:34:19 UTC 2026","passed","Sat Mar 28 19:34:19 UTC 2026","Login","Authentication","",""
"","278","Update exercise","LMS service","Sat Mar 28 19:34:22 UTC 2026","passed","Sat Mar 28 19:34:22 UTC 2026","Update entity","Exercises","",""
"","13","Get user me","LMS service","Sat Mar 28 19:34:28 UTC 2026","passed","Sat Mar 28 19:34:28 UTC 2026","Get entity","Users","",""
"","25","Delete file","LMS service","Sat Mar 28 19:34:26 UTC 2026","passed","Sat Mar 28 19:34:26 UTC 2026","Delete entity","Files","",""
"","251","Get file with incorrect file id","LMS service","Sat Mar 28 19:34:27 UTC 2026","passed","Sat Mar 28 19:34:27 UTC 2026","Validate entity","Files","",""
"","531","Create user","LMS service","Sat Mar 28 19:34:27 UTC 2026","passed","Sat Mar 28 19:34:28 UTC 2026","Create entity","Users","",""
"","19","Create file","LMS service","Sat Mar 28 19:34:24 UTC 2026","passed","Sat Mar 28 19:34:24 UTC 2026","Create entity","Files","",""
"","20","Delete exercise","LMS service","Sat Mar 28 19:34:23 UTC 2026","passed","Sat Mar 28 19:34:23 UTC 2026","Delete entity","Exercises","",""
"","29","Create course","LMS service","Sat Mar 28 19:34:21 UTC 2026","passed","Sat Mar 28 19:34:21 UTC 2026","Create entity","Courses","",""
