"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","263","Create file with empty directory","LMS service","Sat Mar 28 19:44:19 UTC 2026","passed","Sat Mar 28 19:44:19 UTC 2026","Validate entity","Files","",""
"","301","Update course","LMS service","Sat Mar 28 19:44:12 UTC 2026","passed","Sat Mar 28 19:44:12 UTC 2026","Update entity","Courses","",""
"","296","Delete file","LMS service","Sat Mar 28 19:44:19 UTC 2026","passed","Sat Mar 28 19:44:20 UTC 2026","Delete entity","Files","",""
"","290","Get exercise","LMS service","Sat Mar 28 19:44:15 UTC 2026","passed","Sat Mar 28 19:44:15 UTC 2026","Get entity","Exercises","",""
"","265","Create file","LMS service","Sat Mar 28 19:44:17 UTC 2026","passed","Sat Mar 28 19:44:17 UTC 2026","Create entity","Files","",""
"","321","Get file","LMS service","Sat Mar 28 19:44:18 UTC 2026","passed","Sat Mar 28 19:44:18 UTC 2026","Get entity","Files","",""
"","17","Get exercises","LMS service","Sat Mar 28 19:44:17 UTC 2026","passed","Sat Mar 28 19:44:17 UTC 2026","Get entities","Exercises","",""
"","22","Create exercise","LMS service","Sat Mar 28 19:44:14 UTC 2026","passed","Sat Mar 28 19:44:14 UTC 2026","Create entity","Exercises","",""
"","291","Delete exercise","LMS service","Sat Mar 28 19:44:16 UTC 2026","passed","Sat Mar 28 19:44:16 UTC 2026","Delete entity","Exercises","",""
"","858","Create user","LMS service","Sat Mar 28 19:44:20 UTC 2026","passed","Sat Mar 28 19:44:20 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Sat Mar 28 19:44:22 UTC 2026","passed","Sat Mar 28 19:44:22 UTC 2026","Get entity","Users","",""
"","26","Get courses","LMS service","Sat Mar 28 19:44:13 UTC 2026","passed","Sat Mar 28 19:44:13 UTC 2026","Get entities","Courses","",""
"","290","Update exercise","LMS service","Sat Mar 28 19:44:15 UTC 2026","passed","Sat Mar 28 19:44:15 UTC 2026","Update entity","Exercises","",""
"","289","Create user","LMS service","Sat Mar 28 19:44:21 UTC 2026","passed","Sat Mar 28 19:44:21 UTC 2026","Create entity","Users","",""
"","537","Create user","LMS service","Sat Mar 28 19:44:21 UTC 2026","passed","Sat Mar 28 19:44:21 UTC 2026","Create entity","Users","",""
"","23","Create file with empty filename","LMS service","Sat Mar 28 19:44:18 UTC 2026","passed","Sat Mar 28 19:44:18 UTC 2026","Validate entity","Files","",""
"","552","Login with correct email and password","LMS service","Sat Mar 28 19:44:12 UTC 2026","passed","Sat Mar 28 19:44:12 UTC 2026","Login","Authentication","",""
"","595","Get file with incorrect file id","LMS service","Sat Mar 28 19:44:20 UTC 2026","passed","Sat Mar 28 19:44:21 UTC 2026","Validate entity","Files","",""
"","30","Create course","LMS service","Sat Mar 28 19:44:14 UTC 2026","passed","Sat Mar 28 19:44:14 UTC 2026","Create entity","Courses","",""
