"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get user me","LMS service","Sun Mar 29 14:05:19 UTC 2026","passed","Sun Mar 29 14:05:19 UTC 2026","Get entity","Users","",""
"","287","Get exercises","LMS service","Sun Mar 29 14:05:14 UTC 2026","passed","Sun Mar 29 14:05:14 UTC 2026","Get entities","Exercises","",""
"","522","Create user","LMS service","Sun Mar 29 14:05:17 UTC 2026","passed","Sun Mar 29 14:05:18 UTC 2026","Create entity","Users","",""
"","17","Create file with empty filename","LMS service","Sun Mar 29 14:05:16 UTC 2026","passed","Sun Mar 29 14:05:16 UTC 2026","Validate entity","Files","",""
"","554","Login with correct email and password","LMS service","Sun Mar 29 14:05:09 UTC 2026","passed","Sun Mar 29 14:05:10 UTC 2026","Login","Authentication","",""
"","20","Create file","LMS service","Sun Mar 29 14:05:14 UTC 2026","passed","Sun Mar 29 14:05:14 UTC 2026","Create entity","Files","",""
"","28","Create course","LMS service","Sun Mar 29 14:05:11 UTC 2026","passed","Sun Mar 29 14:05:11 UTC 2026","Create entity","Courses","",""
"","19","Update exercise","LMS service","Sun Mar 29 14:05:12 UTC 2026","passed","Sun Mar 29 14:05:12 UTC 2026","Update entity","Exercises","",""
"","59","Get file","LMS service","Sun Mar 29 14:05:16 UTC 2026","passed","Sun Mar 29 14:05:16 UTC 2026","Get entity","Files","",""
"","28","Get courses","LMS service","Sun Mar 29 14:05:11 UTC 2026","passed","Sun Mar 29 14:05:11 UTC 2026","Get entities","Courses","",""
"","558","Create user","LMS service","Sun Mar 29 14:05:18 UTC 2026","passed","Sun Mar 29 14:05:19 UTC 2026","Create entity","Users","",""
"","291","Get exercise","LMS service","Sun Mar 29 14:05:13 UTC 2026","passed","Sun Mar 29 14:05:13 UTC 2026","Get entity","Exercises","",""
"","549","Create user","LMS service","Sun Mar 29 14:05:17 UTC 2026","passed","Sun Mar 29 14:05:17 UTC 2026","Create entity","Users","",""
"","292","Create exercise","LMS service","Sun Mar 29 14:05:12 UTC 2026","passed","Sun Mar 29 14:05:12 UTC 2026","Create entity","Exercises","",""
"","20","Delete file","LMS service","Sun Mar 29 14:05:17 UTC 2026","passed","Sun Mar 29 14:05:17 UTC 2026","Delete entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Sun Mar 29 14:05:18 UTC 2026","passed","Sun Mar 29 14:05:18 UTC 2026","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Sun Mar 29 14:05:14 UTC 2026","passed","Sun Mar 29 14:05:14 UTC 2026","Delete entity","Exercises","",""
"","309","Update course","LMS service","Sun Mar 29 14:05:10 UTC 2026","passed","Sun Mar 29 14:05:10 UTC 2026","Update entity","Courses","",""
"","22","Create file with empty directory","LMS service","Sun Mar 29 14:05:17 UTC 2026","passed","Sun Mar 29 14:05:17 UTC 2026","Validate entity","Files","",""
