"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","268","Get file with incorrect file id","LMS service","Fri Mar 20 11:06:19 UTC 2026","passed","Fri Mar 20 11:06:20 UTC 2026","Validate entity","Files","",""
"","17","Get exercise","LMS service","Fri Mar 20 11:06:15 UTC 2026","passed","Fri Mar 20 11:06:15 UTC 2026","Get entity","Exercises","",""
"","287","Login with correct email and password","LMS service","Fri Mar 20 11:06:11 UTC 2026","passed","Fri Mar 20 11:06:11 UTC 2026","Login","Authentication","",""
"","12","Get user me","LMS service","Fri Mar 20 11:06:21 UTC 2026","passed","Fri Mar 20 11:06:21 UTC 2026","Get entity","Users","",""
"","304","Update course","LMS service","Fri Mar 20 11:06:12 UTC 2026","passed","Fri Mar 20 11:06:12 UTC 2026","Update entity","Courses","",""
"","268","Create file with empty directory","LMS service","Fri Mar 20 11:06:18 UTC 2026","passed","Fri Mar 20 11:06:18 UTC 2026","Validate entity","Files","",""
"","267","Create file","LMS service","Fri Mar 20 11:06:17 UTC 2026","passed","Fri Mar 20 11:06:17 UTC 2026","Create entity","Files","",""
"","555","Create user","LMS service","Fri Mar 20 11:06:20 UTC 2026","passed","Fri Mar 20 11:06:20 UTC 2026","Create entity","Users","",""
"","26","Create exercise","LMS service","Fri Mar 20 11:06:14 UTC 2026","passed","Fri Mar 20 11:06:14 UTC 2026","Create entity","Exercises","",""
"","269","Create file with empty filename","LMS service","Fri Mar 20 11:06:18 UTC 2026","passed","Fri Mar 20 11:06:18 UTC 2026","Validate entity","Files","",""
"","22","Get exercises","LMS service","Fri Mar 20 11:06:16 UTC 2026","passed","Fri Mar 20 11:06:16 UTC 2026","Get entities","Exercises","",""
"","291","Create user","LMS service","Fri Mar 20 11:06:20 UTC 2026","passed","Fri Mar 20 11:06:20 UTC 2026","Create entity","Users","",""
"","522","Create user","LMS service","Fri Mar 20 11:06:19 UTC 2026","passed","Fri Mar 20 11:06:20 UTC 2026","Create entity","Users","",""
"","301","Get file","LMS service","Fri Mar 20 11:06:17 UTC 2026","passed","Fri Mar 20 11:06:17 UTC 2026","Get entity","Files","",""
"","31","Create course","LMS service","Fri Mar 20 11:06:13 UTC 2026","passed","Fri Mar 20 11:06:13 UTC 2026","Create entity","Courses","",""
"","32","Delete exercise","LMS service","Fri Mar 20 11:06:16 UTC 2026","passed","Fri Mar 20 11:06:16 UTC 2026","Delete entity","Exercises","",""
"","25","Delete file","LMS service","Fri Mar 20 11:06:19 UTC 2026","passed","Fri Mar 20 11:06:19 UTC 2026","Delete entity","Files","",""
"","303","Get courses","LMS service","Fri Mar 20 11:06:12 UTC 2026","passed","Fri Mar 20 11:06:12 UTC 2026","Get entities","Courses","",""
"","291","Update exercise","LMS service","Fri Mar 20 11:06:14 UTC 2026","passed","Fri Mar 20 11:06:14 UTC 2026","Update entity","Exercises","",""
