"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","Create exercise","LMS service","Sun Mar 29 13:52:33 UTC 2026","passed","Sun Mar 29 13:52:33 UTC 2026","Create entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Sun Mar 29 13:52:39 UTC 2026","passed","Sun Mar 29 13:52:39 UTC 2026","Validate entity","Files","",""
"","553","Login with correct email and password","LMS service","Sun Mar 29 13:52:30 UTC 2026","passed","Sun Mar 29 13:52:31 UTC 2026","Login","Authentication","",""
"","24","Update exercise","LMS service","Sun Mar 29 13:52:33 UTC 2026","passed","Sun Mar 29 13:52:33 UTC 2026","Update entity","Exercises","",""
"","314","Update course","LMS service","Sun Mar 29 13:52:31 UTC 2026","passed","Sun Mar 29 13:52:31 UTC 2026","Update entity","Courses","",""
"","296","Delete exercise","LMS service","Sun Mar 29 13:52:34 UTC 2026","passed","Sun Mar 29 13:52:35 UTC 2026","Delete entity","Exercises","",""
"","30","Create course","LMS service","Sun Mar 29 13:52:32 UTC 2026","passed","Sun Mar 29 13:52:32 UTC 2026","Create entity","Courses","",""
"","58","Get file","LMS service","Sun Mar 29 13:52:37 UTC 2026","passed","Sun Mar 29 13:52:37 UTC 2026","Get entity","Files","",""
"","523","Create user","LMS service","Sun Mar 29 13:52:39 UTC 2026","passed","Sun Mar 29 13:52:39 UTC 2026","Create entity","Users","",""
"","28","Get courses","LMS service","Sun Mar 29 13:52:32 UTC 2026","passed","Sun Mar 29 13:52:32 UTC 2026","Get entities","Courses","",""
"","26","Delete file","LMS service","Sun Mar 29 13:52:38 UTC 2026","passed","Sun Mar 29 13:52:38 UTC 2026","Delete entity","Files","",""
"","21","Create file with empty directory","LMS service","Sun Mar 29 13:52:38 UTC 2026","passed","Sun Mar 29 13:52:38 UTC 2026","Validate entity","Files","",""
"","21","Create file with empty filename","LMS service","Sun Mar 29 13:52:37 UTC 2026","passed","Sun Mar 29 13:52:37 UTC 2026","Validate entity","Files","",""
"","15","Get user me","LMS service","Sun Mar 29 13:52:40 UTC 2026","passed","Sun Mar 29 13:52:40 UTC 2026","Get entity","Users","",""
"","288","Get exercises","LMS service","Sun Mar 29 13:52:35 UTC 2026","passed","Sun Mar 29 13:52:36 UTC 2026","Get entities","Exercises","",""
"","558","Create user","LMS service","Sun Mar 29 13:52:39 UTC 2026","passed","Sun Mar 29 13:52:40 UTC 2026","Create entity","Users","",""
"","553","Create user","LMS service","Sun Mar 29 13:52:38 UTC 2026","passed","Sun Mar 29 13:52:39 UTC 2026","Create entity","Users","",""
"","21","Create file","LMS service","Sun Mar 29 13:52:36 UTC 2026","passed","Sun Mar 29 13:52:36 UTC 2026","Create entity","Files","",""
"","329","Get exercise","LMS service","Sun Mar 29 13:52:34 UTC 2026","passed","Sun Mar 29 13:52:34 UTC 2026","Get entity","Exercises","",""
