"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Get courses","LMS service","Mon Mar 16 12:48:32 UTC 2026","passed","Mon Mar 16 12:48:32 UTC 2026","Get entities","Courses","",""
"","307","Get file","LMS service","Mon Mar 16 12:48:36 UTC 2026","passed","Mon Mar 16 12:48:36 UTC 2026","Get entity","Files","",""
"","529","Create user","LMS service","Mon Mar 16 12:48:38 UTC 2026","passed","Mon Mar 16 12:48:39 UTC 2026","Create entity","Users","",""
"","264","Get file with incorrect file id","LMS service","Mon Mar 16 12:48:39 UTC 2026","passed","Mon Mar 16 12:48:39 UTC 2026","Validate entity","Files","",""
"","33","Create course","LMS service","Mon Mar 16 12:48:32 UTC 2026","passed","Mon Mar 16 12:48:32 UTC 2026","Create entity","Courses","",""
"","30","Create exercise","LMS service","Mon Mar 16 12:48:33 UTC 2026","passed","Mon Mar 16 12:48:33 UTC 2026","Create entity","Exercises","",""
"","561","Create user","LMS service","Mon Mar 16 12:48:39 UTC 2026","passed","Mon Mar 16 12:48:39 UTC 2026","Create entity","Users","",""
"","556","Login with correct email and password","LMS service","Mon Mar 16 12:48:30 UTC 2026","passed","Mon Mar 16 12:48:31 UTC 2026","Login","Authentication","",""
"","293","Create user","LMS service","Mon Mar 16 12:48:39 UTC 2026","passed","Mon Mar 16 12:48:39 UTC 2026","Create entity","Users","",""
"","261","Create file","LMS service","Mon Mar 16 12:48:36 UTC 2026","passed","Mon Mar 16 12:48:36 UTC 2026","Create entity","Files","",""
"","270","Create file with empty filename","LMS service","Mon Mar 16 12:48:37 UTC 2026","passed","Mon Mar 16 12:48:37 UTC 2026","Validate entity","Files","",""
"","295","Update exercise","LMS service","Mon Mar 16 12:48:33 UTC 2026","passed","Mon Mar 16 12:48:34 UTC 2026","Update entity","Exercises","",""
"","13","Get user me","LMS service","Mon Mar 16 12:48:40 UTC 2026","passed","Mon Mar 16 12:48:40 UTC 2026","Get entity","Users","",""
"","34","Delete exercise","LMS service","Mon Mar 16 12:48:35 UTC 2026","passed","Mon Mar 16 12:48:35 UTC 2026","Delete entity","Exercises","",""
"","28","Delete file","LMS service","Mon Mar 16 12:48:38 UTC 2026","passed","Mon Mar 16 12:48:38 UTC 2026","Delete entity","Files","",""
"","23","Get exercises","LMS service","Mon Mar 16 12:48:35 UTC 2026","passed","Mon Mar 16 12:48:35 UTC 2026","Get entities","Exercises","",""
"","308","Update course","LMS service","Mon Mar 16 12:48:31 UTC 2026","passed","Mon Mar 16 12:48:31 UTC 2026","Update entity","Courses","",""
"","262","Create file with empty directory","LMS service","Mon Mar 16 12:48:37 UTC 2026","passed","Mon Mar 16 12:48:38 UTC 2026","Validate entity","Files","",""
"","18","Get exercise","LMS service","Mon Mar 16 12:48:34 UTC 2026","passed","Mon Mar 16 12:48:34 UTC 2026","Get entity","Exercises","",""
