"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","533","Create user","LMS service","Mon Mar 16 12:43:43 UTC 2026","passed","Mon Mar 16 12:43:44 UTC 2026","Create entity","Users","",""
"","17","Get exercise","LMS service","Mon Mar 16 12:43:39 UTC 2026","passed","Mon Mar 16 12:43:39 UTC 2026","Get entity","Exercises","",""
"","266","Create file","LMS service","Mon Mar 16 12:43:41 UTC 2026","passed","Mon Mar 16 12:43:41 UTC 2026","Create entity","Files","",""
"","291","Update exercise","LMS service","Mon Mar 16 12:43:39 UTC 2026","passed","Mon Mar 16 12:43:39 UTC 2026","Update entity","Exercises","",""
"","24","Create exercise","LMS service","Mon Mar 16 12:43:38 UTC 2026","passed","Mon Mar 16 12:43:38 UTC 2026","Create entity","Exercises","",""
"","36","Delete exercise","LMS service","Mon Mar 16 12:43:40 UTC 2026","passed","Mon Mar 16 12:43:40 UTC 2026","Delete entity","Exercises","",""
"","269","Create file with empty directory","LMS service","Mon Mar 16 12:43:43 UTC 2026","passed","Mon Mar 16 12:43:43 UTC 2026","Validate entity","Files","",""
"","305","Update course","LMS service","Mon Mar 16 12:43:36 UTC 2026","passed","Mon Mar 16 12:43:36 UTC 2026","Update entity","Courses","",""
"","14","Get user me","LMS service","Mon Mar 16 12:43:45 UTC 2026","passed","Mon Mar 16 12:43:45 UTC 2026","Get entity","Users","",""
"","20","Get exercises","LMS service","Mon Mar 16 12:43:40 UTC 2026","passed","Mon Mar 16 12:43:40 UTC 2026","Get entities","Exercises","",""
"","287","Login with correct email and password","LMS service","Mon Mar 16 12:43:35 UTC 2026","passed","Mon Mar 16 12:43:36 UTC 2026","Login","Authentication","",""
"","301","Get file","LMS service","Mon Mar 16 12:43:41 UTC 2026","passed","Mon Mar 16 12:43:42 UTC 2026","Get entity","Files","",""
"","303","Get courses","LMS service","Mon Mar 16 12:43:37 UTC 2026","passed","Mon Mar 16 12:43:37 UTC 2026","Get entities","Courses","",""
"","266","Create file with empty filename","LMS service","Mon Mar 16 12:43:42 UTC 2026","passed","Mon Mar 16 12:43:42 UTC 2026","Validate entity","Files","",""
"","27","Delete file","LMS service","Mon Mar 16 12:43:43 UTC 2026","passed","Mon Mar 16 12:43:43 UTC 2026","Delete entity","Files","",""
"","290","Create user","LMS service","Mon Mar 16 12:43:44 UTC 2026","passed","Mon Mar 16 12:43:44 UTC 2026","Create entity","Users","",""
"","268","Get file with incorrect file id","LMS service","Mon Mar 16 12:43:44 UTC 2026","passed","Mon Mar 16 12:43:44 UTC 2026","Validate entity","Files","",""
"","28","Create course","LMS service","Mon Mar 16 12:43:37 UTC 2026","passed","Mon Mar 16 12:43:37 UTC 2026","Create entity","Courses","",""
"","564","Create user","LMS service","Mon Mar 16 12:43:44 UTC 2026","passed","Mon Mar 16 12:43:45 UTC 2026","Create entity","Users","",""
