"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Sun Mar 29 13:56:31 UTC 2026","passed","Sun Mar 29 13:56:31 UTC 2026","Get entity","Users","",""
"","295","Get courses","LMS service","Sun Mar 29 13:56:23 UTC 2026","passed","Sun Mar 29 13:56:23 UTC 2026","Get entities","Courses","",""
"","289","Update exercise","LMS service","Sun Mar 29 13:56:25 UTC 2026","passed","Sun Mar 29 13:56:25 UTC 2026","Update entity","Exercises","",""
"","401","Delete file","LMS service","Sun Mar 29 13:56:29 UTC 2026","passed","Sun Mar 29 13:56:30 UTC 2026","Delete entity","Files","",""
"","547","Create user","LMS service","Sun Mar 29 13:56:30 UTC 2026","passed","Sun Mar 29 13:56:30 UTC 2026","Create entity","Users","",""
"","47","Get exercise","LMS service","Sun Mar 29 13:56:25 UTC 2026","passed","Sun Mar 29 13:56:25 UTC 2026","Get entity","Exercises","",""
"","21","Create file with empty filename","LMS service","Sun Mar 29 13:56:28 UTC 2026","passed","Sun Mar 29 13:56:28 UTC 2026","Validate entity","Files","",""
"","271","Get file with incorrect file id","LMS service","Sun Mar 29 13:56:30 UTC 2026","passed","Sun Mar 29 13:56:30 UTC 2026","Validate entity","Files","",""
"","288","Login with correct email and password","LMS service","Sun Mar 29 13:56:21 UTC 2026","passed","Sun Mar 29 13:56:22 UTC 2026","Login","Authentication","",""
"","30","Create course","LMS service","Sun Mar 29 13:56:23 UTC 2026","passed","Sun Mar 29 13:56:23 UTC 2026","Create entity","Courses","",""
"","306","Update course","LMS service","Sun Mar 29 13:56:22 UTC 2026","passed","Sun Mar 29 13:56:23 UTC 2026","Update entity","Courses","",""
"","291","Delete exercise","LMS service","Sun Mar 29 13:56:26 UTC 2026","passed","Sun Mar 29 13:56:26 UTC 2026","Delete entity","Exercises","",""
"","264","Create file","LMS service","Sun Mar 29 13:56:27 UTC 2026","passed","Sun Mar 29 13:56:27 UTC 2026","Create entity","Files","",""
"","264","Create file with empty directory","LMS service","Sun Mar 29 13:56:29 UTC 2026","passed","Sun Mar 29 13:56:29 UTC 2026","Validate entity","Files","",""
"","24","Create exercise","LMS service","Sun Mar 29 13:56:24 UTC 2026","passed","Sun Mar 29 13:56:24 UTC 2026","Create entity","Exercises","",""
"","21","Get exercises","LMS service","Sun Mar 29 13:56:26 UTC 2026","passed","Sun Mar 29 13:56:27 UTC 2026","Get entities","Exercises","",""
"","315","Get file","LMS service","Sun Mar 29 13:56:28 UTC 2026","passed","Sun Mar 29 13:56:28 UTC 2026","Get entity","Files","",""
"","289","Create user","LMS service","Sun Mar 29 13:56:30 UTC 2026","passed","Sun Mar 29 13:56:30 UTC 2026","Create entity","Users","",""
"","555","Create user","LMS service","Sun Mar 29 13:56:30 UTC 2026","passed","Sun Mar 29 13:56:31 UTC 2026","Create entity","Users","",""
